X,Y,ID
0,0,1678
11,0,1810
93,0,1677
181,0,1810
716,0,1814
758,0,1812
1131,0,1811
1384,0,1487
1456,0,1488
1470,0,1807
1489,0,1488
1539,0,1807
1543,0,1488
1577,0,1489
1584,0,1807
1587,0,1489
1603,0,1807
1610,0,1489
1692,0,1807
1736,0,1484
1747,0,1807
1750,0,1484
1753,0,1807
1800,0,1484
1801,0,1807
1804,0,1484
1973,0,1105
1980,0,1804
2303,0,1481
2338,0,1480
2483,0,1477
2515,0,1475
2691,0,1474
2921,0,1265
3021,0,1264
3216,0,1263
3610,0,2425
3671,0,1263
3877,0,2426
3939,0,1888
3969,0,1781
3984,0,1888
3997,0,1781
4009,0,1888
4027,0,1781
4067,0,1888
4094,0,1781
4368,0,1782
4861,0,1783
5614,0,1444
0,1,1678
13,1,1810
93,1,1677
182,1,1810
715,1,1814
757,1,1812
1130,1,1811
1387,1,1487
1457,1,1488
1470,1,1807
1489,1,1488
1577,1,1489
1581,1,1807
1594,1,1489
1604,1,1807
1612,1,1489
1690,1,1807
1737,1,1484
1748,1,1807
1750,1,1484
1753,1,1807
1792,1,1484
1793,1,1807
1800,1,1484
1801,1,1807
1804,1,1484
1978,1,1105
1979,1,1804
2303,1,1481
2338,1,1480
2483,1,1477
2515,1,1475
2692,1,1474
2920,1,1265
3022,1,1264
3217,1,1263
3609,1,2425
3670,1,1263
3876,1,2426
3938,1,1888
3965,1,1781
3983,1,1888
3995,1,1781
4011,1,1888
4027,1,1781
4069,1,1888
4095,1,1781
4368,1,1782
4861,1,1783
5613,1,1444
0,2,1678
15,2,1810
82,2,1678
89,2,1810
92,2,1677
184,2,1810
259,2,1562
260,2,1810
714,2,1814
756,2,1812
1130,2,1811
1387,2,1487
1457,2,1488
1470,2,1807
1488,2,1488
1578,2,1489
1580,2,1807
1595,2,1489
1605,2,1807
1611,2,1489
1681,2,1807
1738,2,1484
1748,2,1807
1751,2,1484
1754,2,1807
1792,2,1484
1794,2,1807
1800,2,1484
1802,2,1807
1804,2,1484
1972,2,1105
1976,2,1484
1980,2,1804
2302,2,1481
2337,2,1480
2483,2,1477
2515,2,1475
2692,2,1474
2920,2,1265
3022,2,1264
3217,2,1263
3609,2,2425
3669,2,1263
3876,2,2426
3938,2,1888
3963,2,1781
3981,2,1888
3994,2,1781
4012,2,1888
4027,2,1781
4070,2,1888
4096,2,1781
4368,2,1782
4861,2,1783
5613,2,1444
0,3,1678
16,3,1810
80,3,1678
92,3,1677
184,3,1810
259,3,1562
260,3,1810
713,3,1814
754,3,1812
1129,3,1811
1390,3,1487
1458,3,1488
1470,3,1807
1488,3,1488
1578,3,1489
1581,3,1807
1596,3,1489
1609,3,1807
1610,3,1489
1686,3,1807
1739,3,1484
1756,3,1807
1793,3,1484
1795,3,1807
1800,3,1484
1803,3,1807
1806,3,1484
1973,3,1105
1976,3,1484
1977,3,1105
1978,3,1484
1981,3,1804
2301,3,1481
2337,3,1480
2482,3,1477
2515,3,1475
2693,3,1474
2920,3,1265
3022,3,1264
3217,3,1263
3609,3,2425
3673,3,1263
3875,3,2426
3937,3,1888
3959,3,1781
3981,3,1888
3993,3,1781
4014,3,1888
4027,3,1781
4072,3,1888
4097,3,1781
4368,3,1782
4861,3,1783
5613,3,1444
0,4,1678
20,4,1810
76,4,1678
92,4,1677
184,4,1810
258,4,1562
262,4,1810
713,4,1814
752,4,1812
1129,4,1811
1391,4,1487
1459,4,1488
1470,4,1807
1486,4,1488
1578,4,1489
1583,4,1807
1596,4,1489
1686,4,1807
1741,4,1484
1757,4,1807
1794,4,1484
1796,4,1807
1800,4,1484
1804,4,1807
1806,4,1484
1976,4,1105
1979,4,1484
1984,4,1804
2300,4,1481
2336,4,1480
2482,4,1477
2515,4,1475
2694,4,1474
2920,4,1265
3022,4,1264
3218,4,1263
3609,4,2425
3673,4,1263
3875,4,2426
3935,4,1888
3956,4,1781
3980,4,1888
3993,4,1781
4015,4,1888
4024,4,1781
4074,4,1888
4105,4,1781
4368,4,1782
4861,4,1783
5613,4,1444
0,5,1678
22,5,1810
76,5,1678
92,5,1677
184,5,1810
258,5,1562
262,5,1810
711,5,1814
750,5,1812
1129,5,1811
1391,5,1487
1459,5,1488
1470,5,1807
1485,5,1488
1578,5,1489
1584,5,1807
1597,5,1489
1686,5,1807
1741,5,1484
1758,5,1807
1760,5,1484
1761,5,1807
1794,5,1484
1797,5,1807
1800,5,1484
1805,5,1807
1807,5,1484
1976,5,1105
1980,5,1804
1983,5,1484
1995,5,1804
2000,5,1484
2002,5,1804
2007,5,1484
2011,5,1804
2300,5,1481
2336,5,1480
2482,5,1477
2515,5,1475
2695,5,1474
2920,5,1265
